Ticker,Ex-Dividend Date,Dividend,Payment Date,Yield
JNJ,2022-11-21,1.13,2022-12-06,0.0258
JNJ,2022-08-22,1.13,2022-09-06,0.0267
JNJ,2022-05-23,1.13,2022-06-07,0.0255
JNJ,2022-02-18,1.06,2022-03-08,0.0255
JNJ,2021-11-22,1.06,2021-12-07,0.026
JNJ,2021-08-23,1.06,2021-09-07,0.0236
JNJ,2021-05-24,1.06,2021-06-08,0.0248
JNJ,2021-02-22,1.01,2021-03-09,0.0248
JNJ,2020-11-23,1.01,2020-12-08,0.0276
JNJ,2020-08-24,1.01,2020-09-08,0.0264
JNJ,2020-05-22,1.01,2020-06-09,0.0275
JNJ,2020-02-24,0.95,2020-03-10,0.0253
JNJ,2019-11-25,0.95,2019-12-10,0.0275
JNJ,2019-08-26,0.95,2019-09-10,0.0298
JNJ,2019-05-24,0.95,2019-06-11,0.0272
JNJ,2019-02-25,0.9,2019-03-12,0.0264
JNJ,2018-11-26,0.9,2018-12-11,0.0253
JNJ,2018-08-27,0.9,2018-09-11,0.0265
JNJ,2018-05-25,0.9,2018-06-12,0.0294
JNJ,2018-02-26,0.84,2018-03-13,0.0255
JNJ,2017-11-27,0.84,2017-12-12,0.0243
JNJ,2017-08-25,0.84,2017-09-12,0.0253
JNJ,2017-05-25,0.84,2017-06-13,0.0264
JNJ,2017-02-24,0.8,2017-03-14,0.0263
JNJ,2016-11-18,0.8,2016-12-06,0.0275
JNJ,2016-08-19,0.8,2016-09-06,0.0265
JNJ,2016-05-20,0.8,2016-06-07,0.0284
JNJ,2016-02-19,0.75,2016-03-08,0.0288
JNJ,2015-11-20,0.75,2015-12-08,0.0288
JNJ,2015-08-21,0.75,2015-09-08,0.0294
JNJ,2015-05-21,0.75,2015-06-09,0.0275
JNJ,2015-02-20,0.7,2015-03-10,0.0278
JNJ,2014-11-21,0.7,2014-12-09,0.0255
JNJ,2014-08-22,0.7,2014-09-09,0.0261
JNJ,2014-05-22,0.7,2014-06-10,0.0265
JNJ,2014-02-21,0.66,2014-03-11,0.0286
JNJ,2013-11-22,0.66,2013-12-10,0.0272
JNJ,2013-08-23,0.66,2013-09-10,0.0288
JNJ,2013-05-23,0.66,2013-06-11,0.0281
JNJ,2013-02-22,0.61,2013-03-12,0.0317
JNJ,2012-11-23,0.61,2012-12-11,0.0345
JNJ,2012-08-24,0.61,2012-09-11,0.0348
JNJ,2012-05-24,0.61,2012-06-12,0.0367
JNJ,2012-02-24,0.57,2012-03-13,0.035
JNJ,2011-11-25,0.57,2011-12-13,0.0363
JNJ,2011-08-26,0.57,2011-09-13,0.0344
JNJ,2011-05-26,0.57,2011-06-14,0.033
JNJ,2011-02-25,0.54,2011-03-15,0.0359
JNJ,2010-11-26,0.54,2010-12-14,0.0333
JNJ,2010-08-27,0.54,2010-09-14,0.0356
JNJ,2010-05-27,0.54,2010-06-15,0.0337
JNJ,2010-02-19,0.49,2010-03-09,0.0304
JNJ,2009-11-20,0.49,2009-12-08,0.0309
JNJ,2009-08-21,0.49,2009-09-08,0.0312
JNJ,2009-05-21,0.49,2009-06-09,0.0335
JNJ,2009-02-20,0.46,2009-03-10,0.0329
JNJ,2008-11-21,0.46,2008-12-09,0.0322
JNJ,2008-08-22,0.46,2008-09-09,0.0246
JNJ,2008-05-22,0.46,2008-06-10,0.0259
JNJ,2008-02-22,0.415,2008-03-11,0.0264
JNJ,2007-11-23,0.415,2007-12-11,0.0241
JNJ,2007-08-24,0.415,2007-09-11,0.0254
JNJ,2007-05-24,0.415,2007-06-12,0.0241
JNJ,2007-02-23,0.375,2007-03-13,0.0232
JNJ,2006-11-24,0.375,2006-12-12,0.0218
JNJ,2006-08-25,0.375,2006-09-12,0.0217
JNJ,2006-05-25,0.375,2006-06-13,0.0225
JNJ,2006-02-24,0.33,2006-03-14,0.0225
JNJ,2005-11-18,0.33,2005-12-13,0.0201
JNJ,2005-08-19,0.33,2005-09-13,0.0191
JNJ,2005-05-13,0.33,2005-06-07,0.0175
JNJ,2005-02-11,0.285,2005-03-08,0.0172
JNJ,2004-11-12,0.285,2004-12-07,0.0181
JNJ,2004-08-13,0.285,2004-09-07,0.0187
JNJ,2004-05-14,0.285,2004-06-08,0.0183
JNJ,2004-02-12,0.24,2004-03-09,0.0176
JNJ,2003-11-14,0.24,2003-12-09,0.0184
JNJ,2003-08-15,0.24,2003-09-09,0.0175
JNJ,2003-05-16,0.24,2003-06-10,0.0154
JNJ,2003-02-13,0.205,2003-03-11,0.0164
JNJ,2002-11-15,0.205,2002-12-10,0.0131
JNJ,2002-08-16,0.205,2002-09-10,0.0138
JNJ,2002-05-17,0.205,2002-06-11,0.0123
JNJ,2002-02-14,0.18,2002-03-12,0.0124
JNJ,2001-11-16,0.18,2001-12-11,0.0117
JNJ,2001-08-17,0.18,2001-09-11,0.0124
JNJ,2001-05-18,0.36,2001-06-12,0.0131
JNJ,2001-02-15,0.32,2001-03-13,0.0134
JNJ,2000-11-17,0.32,2000-12-12,0.0132
JNJ,2000-08-18,0.32,2000-09-12,0.0124
JNJ,2000-05-19,0.32,2000-06-13,0.0131
JNJ,2000-02-11,0.28,2000-03-07,0.0144
HRL,2022-10-14,0.26,2022-11-15,0.0226
HRL,2022-07-08,0.26,2022-08-15,0.0215
HRL,2022-04-08,0.26,2022-05-16,0.0197
HRL,2022-01-14,0.26,2022-02-15,0.021
HRL,2021-10-15,0.245,2021-11-15,0.0229
HRL,2021-07-09,0.245,2021-08-16,0.0205
HRL,2021-04-09,0.245,2021-05-17,0.0208
HRL,2021-01-08,0.245,2021-02-16,0.0214
HRL,2020-10-16,0.2325,2020-11-16,0.0184
HRL,2020-07-10,0.2325,2020-08-17,0.0198
HRL,2020-04-09,0.2325,2020-05-15,0.0196
HRL,2020-01-10,0.2325,2020-02-18,0.0209
HRL,2019-10-18,0.21,2019-11-15,0.0206
HRL,2019-07-12,0.21,2019-08-15,0.0204
HRL,2019-04-12,0.21,2019-05-15,0.0202
HRL,2019-01-11,0.21,2019-02-15,0.0194
HRL,2018-10-19,0.1875,2018-11-15,0.0182
HRL,2018-07-13,0.1875,2018-08-15,0.02
HRL,2018-04-13,0.1875,2018-05-15,0.0214
HRL,2018-01-11,0.1875,2018-02-15,0.0212
HRL,2017-10-20,0.17,2017-11-15,0.0222
HRL,2017-07-13,0.17,2017-08-15,0.0208
HRL,2017-04-13,0.17,2017-05-15,0.0199
HRL,2017-01-12,0.17,2017-02-15,0.0194
HRL,2016-10-20,0.145,2016-11-15,0.0152
HRL,2016-07-14,0.145,2016-08-15,0.0159
HRL,2016-04-14,0.145,2016-05-16,0.0146
HRL,2016-01-14,0.29,2016-02-16,0.0066
HRL,2015-10-15,0.25,2015-11-16,0.0077
HRL,2015-07-16,0.25,2015-08-17,0.0082
HRL,2015-04-16,0.25,2015-05-15,0.0078
HRL,2015-01-15,0.25,2015-02-17,0.0084
HRL,2014-10-16,0.2,2014-11-14,0.0079
HRL,2014-07-17,0.2,2014-08-15,0.008
HRL,2014-04-16,0.2,2014-05-15,0.0078
HRL,2014-01-17,0.2,2014-02-14,0.0076
HRL,2013-10-17,0.17,2013-11-15,0.0079
HRL,2013-07-18,0.17,2013-08-15,0.008
HRL,2013-04-18,0.17,2013-05-15,0.0078
HRL,2013-01-16,0.17,2013-02-15,0.009
HRL,2012-10-18,0.15,2012-11-15,0.0101
HRL,2012-07-19,0.15,2012-08-15,0.01
HRL,2012-04-19,0.15,2012-05-15,0.0098
HRL,2012-01-19,0.15,2012-02-15,0.0091
HRL,2011-10-19,0.1275,2011-11-15,0.0088
HRL,2011-07-20,0.1275,2011-08-15,0.0081
HRL,2011-04-19,0.1275,2011-05-15,0.0082
HRL,2011-01-19,0.255,2011-02-15,0.0087
HRL,2010-10-20,0.21,2010-11-15,0.0094
HRL,2010-07-21,0.21,2010-08-15,0.0096
HRL,2010-04-14,0.21,2010-05-15,0.0095
HRL,2010-01-20,0.21,2010-02-15,0.01
HRL,2009-10-21,0.19,2009-11-15,0.0104
HRL,2009-07-15,0.19,2009-08-15,0.0109
HRL,2009-04-15,0.19,2009-05-15,0.012
HRL,2009-01-21,0.19,2009-02-15,0.0121
HRL,2008-10-15,0.185,2008-11-15,0.0109
HRL,2008-07-16,0.185,2008-08-15,0.01
HRL,2008-04-16,0.185,2008-05-15,0.0084
HRL,2008-01-16,0.185,2008-02-15,0.008
HRL,2007-10-17,0.15,2007-11-15,0.0082
HRL,2007-07-18,0.15,2007-08-15,0.008
HRL,2007-04-18,0.15,2007-05-15,0.0077
HRL,2007-01-17,0.15,2007-02-15,0.0076
HRL,2006-10-18,0.14,2006-11-15,0.0078
HRL,2006-07-19,0.14,2006-08-15,0.0075
