Date,WBA,LEG,BEN,SWK,XOM,CVX,BKH,NFG,CAT,TGT,ITW,EMR,APD,PG,JNJ,ATO,GPC,GD,AOS,HRL,LOW,PPG,PH,ABM,ADM,ABT,CWT,ADP,TNC,DOV
2000-01-03,28.5625,20.5625,10.5625,28.75,39.15625,41.8125,21.875,23.03125,24.3125,36.03125,31.9375,28.78125,30.35383987,53.59375,46.09375,20.0625,24.0625,24.53125,3.614583015,5.03125,13.9375,30,32.54166794,10.15625,10.88435364,15.71153069,14.03125,41.23933411,16.6875,29.41097641
2000-01-04,27.5,19.5,10.375,28.125,38.40625,41.8125,21.6875,22.75,24,34.46875,30.5,28.4375,29.42877007,52.5625,44.40625,19.5625,23.8125,25.5625,3.5625,4.960937977,13.1875,28.96875,31.25,10.1875,10.77097511,15.26263046,14.3125,41.23933411,16.59375,28.86632729
2000-01-05,27.8125,19.5,10.54166698,27.75,40.5,42.5625,22.4375,22.75,24.5625,33.6875,30.875,28.96875,29.60222054,51.5625,44.875,20.1875,23.6875,27.3125,3.552083015,5.039062977,13.171875,30.0625,31.25,10.0625,10.60090733,15.23457432,14.125,40.84280014,16.625,28.99201584
2000-01-06,27,19.4375,11.1875,27.625,42.59375,44.375,22.625,23.0625,25.8125,32.09375,30.65625,29.78125,31.56799316,53.9375,46.28125,19.875,23.6875,27.40625,3.5,5.125,13.140625,31.5,31.83333206,10.09375,10.65759563,15.76764297,14.0625,41.38803101,16.625,29.11770439
2000-01-07,27.6875,19.75,11.27083302,28.125,42.46875,45.15625,22.8125,23.09375,26.65625,33.75,32.625,31.125,33.76503372,58.25,48.25,20.0625,25.25,28.125,3.645833015,5.171875,13.4375,32.0625,34.75,10.125,10.82766438,15.9359808,14.34375,42.32979584,16.6875,29.91372871
2000-01-10,28.5,19.6875,11.33333302,27.875,41.875,43.9375,22.8125,23.0625,25.78125,33.09375,33.25,29.5,31.68362617,57.96875,47.03125,19.8125,24.9375,27.875,3.6875,5.148437977,13.84375,31.0625,34.33333206,10.125,10.82766438,15.82375622,14,43.37069321,16.6875,30.54216766
2000-01-11,29.625,19.8125,11.14583302,27.5625,42,43.53125,22.5,23,25.375,34.09375,32.90625,29.4375,30.23820496,58.875,47.1875,19.8125,24.5625,27.5,3.645833015,5.15625,13.40625,30.9375,33.45833206,10.03125,10.65759563,15.59930611,14.5625,42.52806091,16.53125,30.66785431
2000-01-12,30.25,19.1875,11.1875,28.6875,41.75,43.375,21.875,22.96875,25.8125,33.71875,32.5,29.84375,30.75855637,58.5,46.75,19.5,24.375,26.5,3.520833015,5.023437977,13.234375,31.40625,33.91666794,10,10.9410429,15.29068565,14.0625,42.13153076,16.625,30.96112633
2000-01-13,30.1875,19.1875,11.1875,28.75,42.71875,43.78125,22.3125,23.03125,26.09375,34.5,34.15625,30.75,30.52729034,57.5,46.6875,19.125,24.9375,26.5,3.572916985,5.078125,13.09375,32.1875,33.5,9.6875,10.88435364,15.15040493,13.9375,41.88369751,16.625,30.6259594
2000-01-14,29.4375,19.3125,11.125,27.875,41.875,43.5,22.0625,22.4375,25.96875,34.625,33.75,30.46875,29.94912148,58.5,46.84375,18.8125,24.75,26.6875,3.645833015,5.0625,13.53125,31.5,33.08333206,10.125,11.33786774,15.48707962,13.96875,41.43759918,16.625,30.3745842
2000-01-18,29.25,19.3125,11.10416698,26.9375,42.375,44.65625,21.875,22.5,24.96875,34,32.28125,30.09375,28.50370026,58.46875,45.65625,18.75,24.8125,25.90625,3.59375,5.085937977,13.3125,30.75,31.125,9.90625,11.84807301,15.15040493,13.34375,39.05840683,16.25,30.66785431
2000-01-19,30.1875,19,11.10416698,27.6875,42.78125,43.96875,22.25,22.4375,24.65625,34.96875,32.1875,30.84375,28.56151772,57.6875,45.8125,18.625,25.0625,25.375,3.65625,4.9375,13.21875,30.15625,31.91666794,10.0625,12.13151932,14.84178543,13.5,42.8750267,16.25,30.70975113
2000-01-20,30.1875,18.5,11.41666698,27,41.84375,43.75,22.4375,22.46875,23.5625,33.84375,31.46875,30.21875,27.63644791,56.28125,45.96875,18.5625,24.3125,24.6640625,3.59375,4.953125,12.6875,28.9375,31.70833206,10.15625,11.84807301,14.39288425,13.75,40.29756927,16.5,29.99752045
